gap_g0w0,gap_pbe,gap_mbj,vol,cohesive,valence,number,period,mass,vdw,EN,EA,valence_std,number_std,period_std,mass_std,vdw_std,EN_std,EA_std
7.4545,4.1895,7.056732,20.08054228,-3.00772838,1,14,3,29.2215,2.01,2.045,9.05335,0,3,0,6.2315,0.26,1.115,3.91425
8.7523,5.2745,7.95273,21.44016825,-3.169200015,1,14,3,29.2215,2.01,2.045,9.05335,0,3,0,6.2315,0.26,1.115,3.91425
10.7274,5.765,10.392803,14.28761094,-3.970402738,1,10,2.5,20.994,1.87,2.455,11.28095,0,1,0.5,1.996,0.4,1.525,6.14185
10.9613,5.7423,10.233081,15.50587683,-3.88690175,1,10,2.5,20.994,1.87,2.455,11.28095,0,1,0.5,1.996,0.4,1.525,6.14185
11.5869,6.2409,10.370121,10.63002114,-3.837846715,1,10,2.5,20.994,1.87,2.455,11.28095,0,1,0.5,1.996,0.4,1.525,6.14185
11.987,6.596,10.942788,11.74657674,-4.00644332,1,10,2.5,20.994,1.87,2.455,11.28095,0,1,0.5,1.996,0.4,1.525,6.14185
6.0339,3.6092,5.613536,39.85060081,-2.455390328,1,32,4,74.947,2.125,1.795,7.7952,0,21,1,51.957,0.145,0.865,2.6561
6.5796,3.8566,5.839495,43.46235289,-2.4511952,1,32,4,74.947,2.125,1.795,7.7952,0,21,1,51.957,0.145,0.865,2.6561
4.5839,2.3498,4.252101,31.43928827,-2.336915365,1,32,4,74.947,2.125,1.795,7.7952,0,21,1,51.957,0.145,0.865,2.6561
6.2427,3.7483,5.432496,32.51911176,-2.497621615,1,32,4,74.947,2.125,1.795,7.7952,0,21,1,51.957,0.145,0.865,2.6561
7.6722,4.6264,8.489717,43.31565851,-3.08875994,1,27,4,60.4605,2.39,1.99,8.57235,0,10,1,25.0075,0.64,1.17,4.39525
7.8919,4.5407,8.687729,48.41822696,-2.943509375,1,27,4,60.4605,2.39,1.99,8.57235,0,10,1,25.0075,0.64,1.17,4.39525
8.2358,5.1333,7.564844,29.41665607,-3.06801279,1,27,4,60.4605,2.39,1.99,8.57235,0,10,1,25.0075,0.64,1.17,4.39525
8.2488,5.0494,7.99695,35.06335405,-3.129321145,1,27,4,60.4605,2.39,1.99,8.57235,0,10,1,25.0075,0.64,1.17,4.39525
8.4926,4.9553,9.49601,26.76747034,-3.70418129,1,23,3.5,52.233,2.25,2.4,10.79995,0,14,1.5,33.235,0.78,1.58,6.62285
8.7402,4.8311,9.567815,28.95351423,-3.63171575,1,23,3.5,52.233,2.25,2.4,10.79995,0,14,1.5,33.235,0.78,1.58,6.62285
10.5066,6.5267,9.159448,18.73263375,-3.608432515,1,23,3.5,52.233,2.25,2.4,10.79995,0,14,1.5,33.235,0.78,1.58,6.62285
9.6795,5.7689,9.313771,22.06909186,-3.734822445,1,23,3.5,52.233,2.25,2.4,10.79995,0,14,1.5,33.235,0.78,1.58,6.62285
6.1564,3.7512,6.292792,60.77935488,-2.52911624,1,45,5,106.186,2.505,1.74,7.3142,0,8,0,20.718,0.525,0.92,3.1371
6.604,3.8528,6.551987,68.57076001,-2.478225245,1,45,5,106.186,2.505,1.74,7.3142,0,8,0,20.718,0.525,0.92,3.1371
5.9187,3.5714,5.368119,41.39484643,-2.51968548,1,45,5,106.186,2.505,1.74,7.3142,0,8,0,20.718,0.525,0.92,3.1371
6.4426,3.933,5.86588,48.61267738,-2.569328655,1,45,5,106.186,2.505,1.74,7.3142,0,8,0,20.718,0.525,0.92,3.1371
3.4742,2.2809,3.33068,10.35710186,-6.48097414,4,10,2.5,20.048,1.9,2.225,9.706,0,4,0.5,8.037,0.2,0.325,1.5543
2.6293,1.3518,2.345793,10.35624178,-6.48116086,4,10,2.5,20.048,1.9,2.225,9.706,0,4,0.5,8.037,0.2,0.325,1.5543
4.4694,2.6911,5.240868,19.98659032,-5.188998926,2,23,3.5,51.81,2.005,2.195,9.6565,0,15,1.5,35.81,0.485,1.245,3.9616
4.4837,2.5774,5.210692,21.34430722,-5.037368796,2,23,3.5,51.81,2.005,2.195,9.6565,0,15,1.5,35.81,0.485,1.245,3.9616
5.0361,2.7366,4.038937,14.73600492,-4.824243851,2,23,3.5,51.81,2.005,2.195,9.6565,0,15,1.5,35.81,0.485,1.245,3.9616
5.5707,3.2615,4.908807,16.91155247,-5.239992531,2,23,3.5,51.81,2.005,2.195,9.6565,0,15,1.5,35.81,0.485,1.245,3.9616
4.3992,2.8001,4.043423,32.54197378,-4.453352694,2,27,4,59.843,2.145,1.765,8.02745,0,11,1,27.777,0.345,0.815,2.33255
4.9465,3.11,5.058934,35.85679967,-4.301940281,2,27,4,59.843,2.145,1.765,8.02745,0,11,1,27.777,0.345,0.815,2.33255
3.4135,1.6715,2.782946,23.5233125,-4.272604706,2,27,4,59.843,2.145,1.765,8.02745,0,11,1,27.777,0.345,0.815,2.33255
4.3291,2.4084,4.1578,26.70336294,-4.596945851,2,27,4,59.843,2.145,1.765,8.02745,0,11,1,27.777,0.345,0.815,2.33255
3.8571,2.4048,3.502213,36.57367289,-4.107965076,2,36,4.5,83.29,2.195,1.75,7.72365,0,2,0.5,4.33,0.295,0.8,2.02875
4.5654,2.7805,4.418874,40.51642181,-3.956391031,2,36,4.5,83.29,2.195,1.75,7.72365,0,2,0.5,4.33,0.295,0.8,2.02875
2.7447,1.2939,2.246905,26.59299683,-3.956706386,2,36,4.5,83.29,2.195,1.75,7.72365,0,2,0.5,4.33,0.295,0.8,2.02875
3.8445,2.1336,3.066961,29.87356658,-4.230257806,2,36,4.5,83.29,2.195,1.75,7.72365,0,2,0.5,4.33,0.295,0.8,2.02875
3.572,2.0507,2.764296,44.76561943,-3.666773639,2,45,5,107.61,2.275,1.525,7.35225,0,7,0,19.99,0.215,0.575,1.65735
4.458,2.8363,4.120285,50.05486125,-3.518489511,2,45,5,107.61,2.275,1.525,7.35225,0,7,0,19.99,0.215,0.575,1.65735
1.4414,0.3628,1.154855,32.48556314,-3.551696316,2,45,5,107.61,2.275,1.525,7.35225,0,7,0,19.99,0.215,0.575,1.65735
3.0207,1.6397,2.315982,36.1966328,-3.791366691,2,45,5,107.61,2.275,1.525,7.35225,0,7,0,19.99,0.215,0.575,1.65735
3.1375,0.7836,2.633058,11.85849352,-3.68586677,2,19,3,40.695,1.455,2.545,11.50615,0,11,1,24.695,0.065,0.895,2.11195
2.923,0.678,2.518224,11.84170055,-3.67832521,2,19,3,40.695,1.455,2.545,11.50615,0,11,1,24.695,0.065,0.895,2.11195
3.2169,0.8944,2.886368,9.758701603,-3.535715515,2,19,3,40.695,1.455,2.545,11.50615,0,11,1,24.695,0.065,0.895,2.11195
4.0401,2.2887,3.879003,19.27948549,-2.971850817,2,23,3.5,48.728,1.595,2.115,9.8771,0,7,0.5,16.662,0.205,0.465,0.4829
3.9604,2.2195,3.804244,19.25947893,-2.97392548,2,23,3.5,48.728,1.595,2.115,9.8771,0,7,0.5,16.662,0.205,0.465,0.4829
2.9918,1.3922,2.882272,22.45806769,-2.613240382,2,32,4,72.175,1.645,2.1,9.5733,0,2,0,6.785,0.255,0.45,0.1791
2.9687,1.3447,2.82676,22.44588611,-2.616402845,2,32,4,72.175,1.645,2.1,9.5733,0,2,0,6.785,0.255,0.45,0.1791
2.8464,1.3555,2.502032,27.99642097,-2.251994227,2,41,4.5,96.495,1.725,1.875,9.2019,0,11,0.5,31.105,0.335,0.225,0.1923
2.7721,1.3173,2.518617,27.99901102,-2.25595076,2,41,4.5,96.495,1.725,1.875,9.2019,0,11,0.5,31.105,0.335,0.225,0.1923
2.8563,1.6118,2.355444,33.79372291,-2.976083788,2.285714286,40.28571429,4.428571429,96.68185714,1.928571429,1.901428571,8.1434,0.451753951,17.30990043,0.903507903,44.3807409,0.171666502,0.230615857,1.36459651
9.3022,5.8764,7.588318,8.742002911,-6.46630165,2.4,10,2.4,20.3924,1.648,2.708,10.56518,0.489897949,2.449489743,0.489897949,5.379569373,0.156767344,0.896513246,3.739048113
3.992,2.5014,3.575115,18.33403362,-3.995504593,2.285714286,17.14285714,3.142857143,35.37371429,1.752857143,2.17,8.972257143,0.451753951,5.40974178,0.349927106,12.45343676,0.149160918,0.473588127,1.916813176
